QueryID	Number of Annotations Replaced	Best Match	Similarity Score
VTO_0002654	0	VTO_0002654	0.8775
VTO_0002654	1	VTO_0002654	0.855
VTO_0002654	2	VTO_0002654	0.8275
VTO_0002654	3	VTO_0002654	0.5425
VTO_0002654	4	VTO_0034544	0.5275
VTO_0002654	5	VTO_0034991	0.6575
VTO_0002654	6	VTO_0034991	0.645
VTO_0002654	7	VTO_0034991	0.645
VTO_0002654	8	VTO_0034991	0.6725
VTO_0002654	9	VTO_0034991	0.6725
VTO_0002654	10	VTO_0034991	0.67
VTO_0047199	0	VTO_0047199	0.8425
VTO_0047199	1	VTO_0047199	0.825
VTO_0047199	2	VTO_0047199	0.82
VTO_0047199	3	VTO_0034991	0.655
VTO_0047199	4	VTO_0034991	0.6725
VTO_0047199	5	VTO_0034991	0.6725
VTO_0047199	6	VTO_0034991	0.685
VTO_0047199	7	VTO_0034991	0.685
VTO_0047199	8	VTO_0034991	0.685
VTO_0047199	9	VTO_0034991	0.685
VTO_0047199	10	VTO_0034991	0.6775
VTO_9001676	0	VTO_9001676	0.87
VTO_9001676	1	VTO_9001676	0.8475
VTO_9001676	2	VTO_9001676	0.8475
VTO_9001676	3	VTO_0034991	0.6575
VTO_9001676	4	VTO_0034991	0.6575
VTO_9001676	5	VTO_0034991	0.62
VTO_9001676	6	VTO_0034991	0.62
VTO_9001676	7	VTO_0034991	0.62
VTO_9001676	8	VTO_0034991	0.62
VTO_9001676	9	VTO_0034991	0.6675
VTO_9001676	10	VTO_0034991	0.705
VTO_9003361	0	VTO_9003361	0.8775
VTO_9003361	1	VTO_9003361	0.8475
VTO_9003361	2	VTO_9003361	0.8175
VTO_9003361	3	VTO_0038680	0.605
VTO_9003361	4	VTO_0033666	0.625
VTO_9003361	5	VTO_0033666	0.625
VTO_9003361	6	VTO_0036816	0.625
VTO_9003361	7	VTO_0034991	0.6425
VTO_9003361	8	VTO_0034991	0.6425
VTO_9003361	9	VTO_0037519	0.655
VTO_9003361	10	VTO_0037519	0.655
VTO_0011622	0	VTO_0011622	0.855
VTO_0011622	1	VTO_0011622	0.8275
VTO_0011622	2	VTO_0011622	0.805
VTO_0011622	3	VTO_0034991	0.6375
VTO_0011622	4	VTO_0034991	0.6375
VTO_0011622	5	VTO_0034991	0.6625
VTO_0011622	6	VTO_0034991	0.6625
VTO_0011622	7	VTO_0034991	0.6625
VTO_0011622	8	VTO_0034991	0.6675
VTO_0011622	9	VTO_0034991	0.645
VTO_0011622	10	VTO_0034991	0.645
